Epoch, Average Steps, Average Score, Fruit 1%, Fruit 2%, Fruit 3%, Avg Fruit Drop, Num Task Completion, Best score yet
10000, 40.5826, -979.2718, 6.54, 12.31, 44.82, 0.0, 0, -452
20000, 40.5084, -978.8758, 8.49, 15.46, 41.84, 0.0, 0, -452
30000, 41.6019, -941.8414, 14.81, 15.59, 37.37, 0.0001, 0, -452
40000, 43.7046, -874.0168, 27.16, 9.34, 36.01, 0.0006, 0, -390
50000, 45.4155, -830.4497, 38.0, 7.24, 33.25, 0.0012, 1, -348
60000, 46.52, -805.0173, 47.74, 7.47, 31.76, 0.0041, 3, -348
70000, 48.3671, -771.2256, 57.91, 10.21, 29.24, 0.0186, 8, -277
80000, 49.2918, -744.0562, 64.74, 16.27, 29.83, 0.053, 36, -277
90000, 50.5012, -716.1738, 70.86, 23.16, 30.4, 0.0982, 90, -277
100000, 50.4982, -701.879, 72.85, 29.62, 33.96, 0.159, 158, -277
110000, 50.1436, -691.8888, 74.14, 32.92, 36.16, 0.1765, 210, -277
120000, 50.0689, -675.1909, 73.97, 38.6, 41.25, 0.2639, 357, -265
130000, 50.4702, -658.9871, 74.11, 44.63, 45.78, 0.364, 561, -251
140000, 50.5591, -639.4958, 73.83, 48.89, 50.51, 0.4626, 858, -251
150000, 51.2448, -610.6724, 74.25, 54.24, 54.93, 0.5829, 1234, -251
160000, 50.9301, -597.4002, 74.13, 57.32, 59.63, 0.6923, 1610, -249
170000, 50.5913, -584.1879, 72.87, 59.07, 63.94, 0.7868, 1883, -245
180000, 50.8697, -558.887, 74.73, 63.1, 67.92, 0.8913, 2486, -239
190000, 50.7994, -542.1169, 74.83, 65.27, 71.57, 0.9872, 2943, -239
200000, 50.416, -528.3578, 75.52, 66.7, 75.5, 1.0844, 3448, -239
210000, 49.7686, -515.9046, 76.21, 68.16, 78.0, 1.1226, 4024, -239
220000, 49.6098, -496.8302, 77.34, 70.21, 80.77, 1.2082, 4454, -239
230000, 49.1708, -484.1699, 79.19, 72.33, 82.62, 1.2392, 4973, -239
240000, 48.7666, -474.8741, 80.7, 73.91, 84.6, 1.2625, 5343, -239
250000, 48.7319, -454.4845, 82.66, 77.66, 86.7, 1.3087, 5811, -239
260000, 47.9917, -448.5253, 84.05, 78.09, 88.24, 1.2979, 6219, -239
270000, 47.4485, -439.6514, 84.41, 78.95, 89.48, 1.2964, 6494, -239
280000, 47.2486, -426.0825, 86.44, 81.44, 90.47, 1.329, 6833, -239
290000, 46.7562, -417.4968, 87.17, 82.75, 91.82, 1.3145, 7162, -239
300000, 46.3696, -410.294, 88.61, 83.63, 92.42, 1.3242, 7358, -239
310000, 45.8832, -401.0474, 89.63, 84.79, 93.06, 1.3166, 7626, -239
320000, 45.4627, -392.0721, 90.15, 85.84, 94.2, 1.2987, 7857, -239
330000, 45.1519, -385.7325, 91.11, 87.05, 94.8, 1.2851, 8059, -239
340000, 44.9185, -375.5015, 92.38, 88.4, 95.59, 1.295, 8255, -239
350000, 44.3916, -368.0504, 93.01, 89.43, 96.29, 1.2574, 8480, -239
360000, 44.0468, -364.8545, 93.06, 89.28, 96.37, 1.2589, 8499, -239
370000, 43.737, -358.6168, 93.58, 90.24, 96.97, 1.2651, 8628, -239
380000, 43.4555, -352.5195, 94.17, 90.85, 97.2, 1.2367, 8749, -239
390000, 43.1165, -345.9901, 94.67, 91.56, 97.45, 1.2288, 8853, -239
400000, 42.9075, -339.8849, 95.5, 92.44, 97.95, 1.2065, 9001, -239
410000, 42.9201, -334.2536, 95.79, 92.92, 98.06, 1.2184, 9056, -239
420000, 42.32, -332.296, 95.72, 92.89, 98.2, 1.1885, 9108, -239
430000, 42.1681, -324.1972, 96.39, 93.95, 98.65, 1.1871, 9222, -239
440000, 41.9735, -321.8458, 96.3, 93.99, 98.59, 1.1861, 9230, -239
450000, 41.7045, -318.8453, 96.53, 94.18, 98.73, 1.1718, 9279, -239
460000, 41.5286, -315.2703, 96.84, 94.64, 99.01, 1.1616, 9345, -239
470000, 41.4205, -311.3492, 97.08, 94.83, 98.74, 1.1702, 9358, -239
480000, 41.1045, -310.4876, 97.08, 94.92, 99.13, 1.1525, 9386, -239
490000, 41.0434, -305.6303, 97.6, 95.49, 99.4, 1.1445, 9457, -239
500000, 40.7741, -305.0194, 97.46, 95.33, 99.4, 1.1313, 9456, -239
